TARGET,Id
low,25364
low,26511
low,27100
low,10404
high,7654
low,7157
low,18764
low,5236
low,8982
low,27191
low,3453
low,9308
low,19424
low,33599
low,16552
low,39575
low,10768
low,8317
low,19004
low,42593
low,9752
low,26744
low,24345
low,9794
low,44138
low,4693
low,30045
low,20604
low,20141
low,28852
low,33896
low,41947
low,29074
low,17017
low,47869
low,18017
low,45949
low,29751
low,1492
low,40311
low,28448
low,11023
low,3657
low,21851
low,44076
low,22563
low,45735
low,42596
low,46751
low,27857
low,16734
low,36428
low,18289
low,46756
low,26537
low,32205
low,37372
low,18346
low,11587
low,9010
low,4903
low,36762
low,34642
low,37603
low,38720
low,10594
medium,10340
low,9307
low,22256
low,22052
low,35384
low,26427
low,38718
low,44460
low,26663
low,3725
low,43036
low,39646
low,32091
low,35438
low,1872
low,26409
low,45480
low,33490
low,24717
low,44848
low,45559
low,48513
low,19846
low,3197
low,49247
low,27020
low,16686
low,14777
low,31119
low,43216
low,16433
low,43071
low,18895
low,8726
low,35697
low,29032
low,6713
low,30661
low,40231
low,43282
low,9459
low,26235
low,31005
low,21673
low,28909
low,24958
low,6776
low,10080
low,40246
low,30065
low,16267
low,32296
low,5321
low,44365
low,43126
low,30704
low,19213
low,11561
low,42448
low,8730
low,28329
low,15775
low,40432
low,5810
low,28323
low,38199
low,8714
low,27216
low,175
low,13285
low,4948
low,18507
low,20532
low,11192
low,13075
low,7664
low,3517
low,37994
low,48246
low,20988
low,45017
low,39027
low,45389
low,2012
low,23338
low,23777
low,26931
low,32532
low,20349
low,21434
low,7519
low,42664
low,40586
low,36936
low,9428
low,41959
low,4972
low,31922
low,42480
low,7016
low,33415
low,20246
low,24909
low,14539
low,17258
low,15915
low,36692
low,18308
low,21972
low,49089
low,44057
low,25827
low,10401
low,24831
low,30259
low,13029
low,25422
low,32605
low,11894
low,18495
low,32428
low,6494
low,1064
low,2666
low,8626
low,15695
low,25971
low,32576
low,42585
low,21658
low,17350
low,33094
low,45336
low,35017
low,7781
low,8871
low,38550
low,34918
low,36135
low,40278
low,23201
low,15161
low,38820
low,11848
low,11780
low,20377
low,1735
low,43942
low,47423
low,40558
low,2161
low,30527
low,30737
low,40960
low,18287
low,20599
low,1386
low,43893
low,4859
low,28322
low,25542
low,47183
low,4647
low,4642
low,13327
low,3415
low,9020
low,30042
low,2231
low,4974
low,24972
low,48438
low,4394
low,42936
low,37553
low,18412
low,18499
low,31500
low,19575
low,5558
low,2907
low,46067
low,39747
low,36359
low,41309
low,33624
low,47291
low,45909
low,16582
low,3640
low,20964
low,28208
low,5985
low,47438
low,43162
low,21936
low,29847
low,45486
low,21864
low,31569
low,45670
low,8257
low,16477
low,39382
low,35410
low,36055
low,14502
low,3241
low,27544
low,29608
low,34671
low,11576
low,37931
low,12947
low,10365
low,37019
low,6409
low,37089
low,25936
low,11345
low,8984
low,41007
low,29337
low,15437
low,23794
low,42865
low,21171
low,31353
low,9275
low,4546
low,6402
low,7147
low,44432
low,29578
low,27107
low,25218
low,12023
low,20523
low,32473
low,11954
low,34982
low,9570
low,47311
low,8313
low,11167
low,35165
low,44958
low,25371
low,12223
low,32287
low,5734
low,24014
low,40439
low,11422
low,8842
low,45726
low,24903
low,24048
low,43638
low,37479
low,21510
low,6562
low,14229
low,24590
low,5759
low,24274
low,29496
low,24356
low,40137
low,17186
low,40767
low,20866
low,14320
low,39383
low,45747
low,30332
low,38025
low,32270
low,32603
low,36254
low,9043
low,43153
low,37959
low,47964
low,19743
low,46366
low,21220
low,20387
low,35343
low,30269
low,6725
low,3015
low,43880
low,10419
low,24254
low,14584
low,42009
low,25610
low,41271
low,40573
low,7884
low,46601
low,42737
low,4621
low,19566
low,5968
low,11294
low,33568
low,3404
low,9526
low,30669
low,12308
low,158
low,44495
low,15822
low,27795
low,17116
low,9438
low,35575
low,5315
low,33740
low,38977
low,6624
low,11851
low,3864
low,34517
low,46705
low,13238
low,3126
low,17904
low,40207
low,33355
low,31078
low,45953
low,48982
low,40818
low,20391
low,28183
low,10552
low,12374
low,29886
low,7113
low,33510
low,26460
low,48299
low,120
low,26367
low,22233
low,17009
low,14343
low,24437
low,39021
low,39601
low,32737
low,30407
low,16405
low,1000
low,40389
low,40889
low,17731
low,41715
low,4634
low,15869
low,2303
low,13080
low,37434
low,20399
low,29709
low,27773
low,16020
low,13771
low,9035
low,28301
low,29476
low,16772
low,17306
low,14162
low,48580
low,43576
low,39834
low,36365
low,20659
low,17117
low,36804
low,66
low,13024
low,19525
low,44747
low,8658
low,32985
low,279
low,35171
low,41676
low,11859
low,39249
low,3165
low,42288
low,17966
low,40791
low,15528
low,18021
low,2699
low,11280
low,23452
low,17641
low,8232
low,1399
low,13715
low,32882
low,11869
low,19427
low,15206
low,47631
low,32649
low,28579
low,36507
low,44200
low,40450
low,184
low,33976
low,11896
low,35235
low,37306
low,23760
low,34424
low,30102
low,42368
low,29126
low,26972
low,9059
low,40697
low,20407
low,31885
low,10184
low,45136
low,34310
low,558
low,8089
low,3369
low,46483
low,34669
low,6410
low,49171
low,45072
low,7166
low,9639
low,17106
low,6518
low,2949
low,38095
low,19258
low,43179
low,22391
low,36874
low,26849
low,16658
low,48759
low,38581
low,36898
low,846
low,20153
low,2786
low,16854
low,24136
low,19898
low,18347
low,7162
low,30894
medium,43253
low,16639
low,8622
low,17229
low,17235
low,21462
low,33559
low,23269
low,44539
low,43089
low,24057
low,40709
low,39953
low,30478
low,974
medium,359
low,4807
low,43878
low,28246
low,43945
low,6561
low,46159
low,18243
low,34330
low,32153
low,42789
low,41998
low,36716
low,33131
low,27813
low,14244
low,5238
low,32795
low,44965
low,16173
low,24202
low,34995
low,47936
low,27990
low,16560
low,38616
low,35962
low,17316
low,14452
low,26491
low,18773
low,48928
low,15788
low,21431
low,15996
low,21101
low,39678
low,20450
low,46987
low,25937
low,42712
low,25432
low,24666
low,37854
low,42811
low,13904
low,45582
low,16834
low,39667
low,48793
low,2896
low,21753
low,5798
low,24641
low,29274
low,39214
low,30225
low,2251
low,45651
low,358
low,47254
low,13039
low,46229
low,23874
low,41502
low,16837
low,36847
medium,24763
low,18898
low,26082
low,34280
low,27135
low,43220
low,7631
low,5141
low,30625
low,48590
low,44511
low,45025
low,27222
low,45261
low,29895
low,23533
low,1382
low,34934
low,41913
low,18569
low,19186
low,32374
low,2163
low,32595
low,16471
low,5638
low,17473
low,42846
low,17040
low,38499
low,29230
low,11094
low,23348
low,41150
low,2821
low,34116
low,36773
low,39673
low,3220
low,19132
low,38117
low,15155
low,7192
low,12082
low,33028
low,12562
low,16387
low,47457
low,27839
low,19046
low,34336
low,36185
low,5528
low,10493
low,16776
low,24886
low,46792
low,6037
low,19887
low,17417
low,42575
low,534
low,27278
low,8358
low,20451
low,1298
low,6408
low,25618
low,1844
low,18418
low,37765
low,31968
low,32027
low,10641
low,24916
low,40793
low,33314
low,11564
low,11108
medium,49202
low,24161
low,17161
low,34313
low,42833
low,44412
low,25787
low,12418
low,21362
low,27557
low,32080
low,31186
low,28682
low,4945
low,20638
low,15322
low,29677
low,15024
low,10198
low,25283
low,38932
low,10207
low,29960
low,9282
low,32987
low,3704
low,1563
low,47404
low,15164
low,36357
low,39029
low,43164
low,10771
low,39936
low,25737
low,23071
low,44629
low,20489
low,5599
low,29159
low,19931
low,12156
low,22564
low,44945
low,33126
low,11162
low,27232
low,19639
low,31302
low,47112
low,4584
low,34863
low,437
low,44176
low,16794
low,43751
medium,27210
low,15919
low,22921
low,18230
low,44018
low,25807
low,16877
low,1098
low,47218
low,22939
low,7400
low,48347
low,42145
low,33395
low,25126
low,13002
low,14740
low,40027
low,26889
low,37785
low,43167
low,47904
low,14904
low,39129
low,25816
low,16169
low,43749
low,47451
low,24135
low,9047
low,42841
low,25475
low,8580
low,6831
low,20990
low,26759
low,37894
low,43959
low,6209
low,24606
low,26324
low,10860
low,7224
low,31513
low,9030
low,13609
low,39816
low,5465
low,43310
low,16272
low,35137
low,12006
low,34976
low,412
low,48072
low,31996
low,36995
low,41075
low,19101
low,2426
low,47536
low,47724
low,39871
low,8432
low,23648
low,27366
low,25457
low,10297
low,22728
low,19845
low,23988
low,34949
low,19608
low,49172
low,10296
low,37579
low,11270
low,11175
low,34668
low,40129
low,11246
low,17218
low,45545
low,25711
low,35243
low,35301
low,4396
low,43932
low,28310
low,46883
low,10554
low,18172
low,37642
low,8047
low,8179
low,2203
low,45387
low,31859
low,43944
low,18156
low,42467
low,27806
medium,25464
low,17973
low,30896
low,25692
low,46535
low,19596
low,8792
low,22884
low,19177
low,28364
low,27672
low,3833
low,20793
low,1808
low,7174
low,25900
low,32993
low,2921
low,21969
low,16489
low,9337
low,14165
low,46009
low,24269
low,42831
low,37771
low,34541
low,324
low,1703
low,39652
low,4343
low,6664
low,48623
medium,14458
low,17789
low,18632
low,43218
low,47427
low,23374
low,2850
low,6572
low,17086
low,3858
low,42620
low,29685
low,17255
low,44530
low,41270
low,25963
low,48287
low,12362
low,11510
low,7594
low,29776
low,11794
low,42399
low,18921
medium,46971
low,10013
low,708
low,27169
low,27571
low,6472
low,9764
low,21838
low,44163
low,42402
low,15731
low,9587
low,40544
low,21170
low,38569
low,41311
low,20513
low,33381
low,3747
low,10337
low,49245
low,14102
low,14956
low,4350
low,6860
low,28878
low,29758
low,21411
low,3448
low,3616
low,866
low,36101
low,43138
low,9724
low,5832
low,42881
low,33899
low,26006
low,4455
low,23142
low,35415
low,31727
low,20669
low,25928
low,46108
low,12091
low,8253
low,2783
low,12114
low,6019
low,14230
low,22236
low,44227
low,5173
low,31051
low,34329
low,31904
low,40942
low,33054
low,4212
low,48521
low,17246
low,46541
low,33388
low,1300
low,43745
low,18014
low,22493
low,45170
low,18564
low,16269
low,38317
low,42122
low,14621
low,23694
low,32145
low,46660
low,36431
low,8998
low,25493
low,10240
low,44450
low,18553
low,13612
low,23699
low,23450
low,26926
low,3210
low,161
low,22061
low,4048
low,25812
low,5095
low,36776
low,22594
low,19140
low,33975
medium,37494
low,17339
low,6811
low,10312
low,11420
low,36651
low,39208
low,20064
low,30670
low,8956
low,42212
low,28641
low,16304
low,23092
low,22891
low,25959
low,8761
medium,33488
low,11956
low,47654
low,11049
low,22387
low,7028
low,4313
low,48750
low,27055
low,28409
low,2886
low,37906
low,15336
low,35792
low,47356
low,47092
low,42431
low,34743
low,15587
low,1103
low,15681
low,16367
low,31056
low,39265
low,42229
low,23763
low,10964
low,21231
low,29620
low,5961
low,25099
low,46872
low,9216
low,37635
low,27673
low,5090
low,30877
low,37904
low,45498
low,9865
low,17640
low,43648
low,43337
low,42433
low,26392
low,24371
low,25460
low,27740
low,27719
low,28034
low,46639
low,644
low,40320
low,4413
low,3625
low,33459
low,43083
low,34045
low,203
low,31412
low,12398
low,36725
low,38416
low,10775
low,16317
low,25823
low,19299
low,12240
low,34459
low,2720
low,34695
low,48968
low,24011
low,38768
low,28853
low,9363
low,42271
low,34430
low,40611
low,23920
low,46094
low,36385
low,4196
low,46088
low,16888
low,41595
low,9158
low,43886
low,796
low,554
low,10895
low,20887
low,11861
low,5619
low,12558
low,683
low,34276
low,28631
low,8492
low,15849
low,25352
low,26002
low,33064
low,35794
low,37499
low,41496
low,7368
low,38779
low,27209
medium,21232
low,4433
low,11075
low,45914
low,28764
low,21427
low,691
low,6815
low,12827
low,44267
low,46623
low,7740
low,32724
low,18605
low,42483
low,12477
low,24996
medium,30863
low,4635
low,31514
low,4266
low,43642
low,22847
low,40287
low,9648
low,219
low,26327
low,20256
low,48099
low,20658
low,42416
low,15465
low,17756
low,41320
low,3206
low,3755
low,33289
low,36277
low,7372
low,6034
low,22929
low,9084
low,19975
low,6509
low,41823
low,12663
low,4786
low,2793
low,47559
low,14731
low,6782
low,9002
low,13787
low,4752
low,2461
low,38631
low,32525
low,45594
low,20885
low,26939
low,31200
low,15670
low,48126
low,28189
low,19298
low,38428
low,12748
low,26476
low,43322
low,6367
low,33257
low,43641
low,32781
low,7417
low,26166
low,22632
low,27434
low,13348
low,48373
low,48017
low,26411
low,30775
low,46952
low,7871
low,5819
low,42597
low,23903
low,22910
low,23178
low,24989
low,19899
low,35679
low,29533
low,23673
low,43925
low,1570
low,36943
low,41745
